OBJECTID,RouteID,FromARMeasure,ToARMeasure,NHS_TYPE,GlobalID,Shape_Length
1,SHS_004._P,35.8830601,61.9455806,M21PA,{A78935ED-19BF-4579-BA1C-688876FEA2E6},53182.273658775
2,SHS_010._P,16.8879121,241.6101624,INTERSTATE,{014B238F-52AA-43CA-9592-82735AD508F0},435111.008156725
3,SHS_010._S,16.9353229,241.6781582,INTERSTATE,{97C08F17-2636-4225-A10B-76C5D4244DA0},435152.978217001
4,SHS_010S_P,0,11.7592019,M21PA,{BFD9C51D-2629-4815-809C-F9AADA756CAC},22831.207644467
5,SHS_010S_S,0,11.7686415,M21PA,{3C401A58-4A4E-4947-95AC-7E475D1A5EA6},22848.8021499683
6,SHS_060._P,0,52.8378111,O-NHS,{7F2D06AD-7BB7-4180-AE79-4ED889EDE006},102530.005956155
7,SHS_060._S,0,52.8373435,O-NHS,{07BE618E-DC29-4F2F-A57D-BAE026D4C544},102529.120178435
8,SHS_120._P,0,6.6428068,O-NHS,{729305B6-40E6-4C22-AF3D-0839DD159BD5},13532.074032624
9,SHS_120._P,6.6438068,94.8654419,O-NHS,{5DFE0CFA-8F53-4919-9C51-5F54AB9E85F1},179836.350036114
10,SHS_120._S,0,6.6466569,O-NHS,{A59B904B-77C2-4F52-8B2E-D256D9E0A856},13539.8834919355
11,SHS_120._S,6.6476569,94.9194162,O-NHS,{918768F8-FED9-4788-A829-7AAFBE2AB5CE},179938.811377423
12,SHS_132._P,0,22.4985229,O-NHS,{99A19523-1574-436D-A3E3-E0EF9DC6C914},45740.4796001357
13,SHS_132._S,0,21.9303402,O-NHS,{F2CF1854-27F5-4102-9645-CA2C65E7DA16},44584.8835284927
14,SHS_164._P,0,0.4982066,M21PA,{41FCB5EB-3415-44E0-B44D-9C20CA8906F3},971.024344444819
15,SHS_164._P,0.4992066,3.436127,M21PA,{5FF4E555-91CC-4422-8D96-427BA25FDEAD},5725.35541738822
16,SHS_164._S,0,0.497679,M21PA,{98732774-C17C-4A27-B36F-690F06F8BFE0},969.995804411506
17,SHS_164._S,0.498679,3.4370081,M21PA,{9FD66EDA-69F8-4A7E-BDE2-0A38723A8F4F},5728.11863437183
18,SHS_205._P,0,14.2337357,INTERSTATE,{D96BCAB9-CE9D-4F21-A41B-D452A9C5E0A5},28984.518950801
19,SHS_205._S,0,13.770726,INTERSTATE,{9D1ECEE5-6206-4980-9BE9-F3591AFAD134},28041.0564457373
20,SHS_580._P,0,62.7788908,INTERSTATE,{A40F0BEB-1C4E-4F7F-8783-21D0AF178EA9},127792.730621159
21,SHS_580._S,0,63.0572706,INTERSTATE,{A0D35C5C-8574-4E12-B1D3-0E02CDA9504F},128357.999234409
22,ALA_LVMR_ALTAMONT PASS RD_P,0.3734134,8.5234027,M21PA,{EB055568-7941-481A-8FAC-5DD2B3C87E8F},16595.509532899
23,ALA_LVMR_N VASCO RD_P,0,4.3013719,M21PA,{90873BEB-5B03-4424-A18C-DEA64052B88C},8764.44258757125
24,ALA_LVMR_N VASCO RD_S,0,1.2058912,M21PA,{A55AD92C-AD00-4611-B5AC-0ED3CFA50E0F},2456.74588582387
25,ALA_LVMR_S VASCO RD_P,3.1063754,3.1486545,M21PA,{E9C94544-1D20-4D68-9DC3-75C7EF57FDD1},86.1181083351022
26,ALA_LVMR_S VASCO RD_S,2.4861169,2.5313404,M21PA,{01D3C639-971F-4674-BCAB-13797408568F},92.1567311632609
27,CC_CO_BYRON HWY_P,6.6880331,7.6174851,M21PA,{3D8CA31C-5726-452C-8C29-82E17F567544},1898.67151224391
28,CC_CO_BYRON HWY_P,0,6.6870331,M21PA,{5BB91761-53B0-4C6E-8C4D-1563A1145D2E},13642.5097423878
29,LA_ALH_S GARFIELD AVE_P,0,1.8104254,M21PA,{653AE3D7-59EC-4507-9B3D-69189F00130F},3529.17313949547
30,LA_ALH_S GARFIELD AVE_S,0,0.2979251,M21PA,{42F467FE-C56F-4AE3-B096-BEA371FF97EA},580.829070915597
31,LA_BGDN_GARFIELD AVE_P,0,4.7902261,M21PA,{6C67F794-E2E3-46D3-92E6-871FC538347E},9320.97672898275
32,LA_CO_SAN GABRIEL BLVD_P,0,2.2607657,M21PA,{6C624005-1DBE-4236-8EE7-255A86477F75},4397.30293342707
33,LA_CO_SAN GABRIEL BLVD_S,0,2.1867303,M21PA,{E6EFA94A-A607-4B37-9359-A54A7C55DEF6},4253.06166508962
34,LA_LA_WHITTIER BLVD_P,2.3039826,5.9028738,M21PA,{922F0652-DB4F-4A33-A217-4B39E7867679},6982.14419825313
35,LA_MONP_E POMONA BLVD_P,0,0.4867278,M21PA,{C687C67E-F347-4E56-A717-606F19DFD4AA},944.260297178017
36,LA_MONP_GARFIELD AVE_P,0,0.5614806,M21PA,{469A5292-0E2D-480E-AADE-54B6CF5F35BE},1093.71556530095
37,LA_MONP_N GARFIELD AVE_P,0,0.4980798,M21PA,{8F5528D2-58E0-407D-AD9B-C3980F9CDD62},971.03103113265
